,RQ,DLWZ1,DLWZ2,XQ,ZGQW,ZDQW,TQ,FS,ORG_NO
19700101,2022-12-05,福州,福州,周一,15,12,阴,东北风1级,35401
19700101,2022-12-06,福州,福州,周二,15,12,阴,东北风2级,35401
19700101,2022-12-07,福州,福州,周三,15,13,多云~阴,东北风1级,35401
19700101,2022-12-08,福州,福州,周四,20,15,多云~小雨,东北风1级,35401
19700101,2022-12-09,福州,福州,周五,23,15,多云,东北风1级,35401
19700101,2022-12-10,福州,福州,周六,22,13,多云~小雨,东北风1级,35401
19700101,2022-11-01,福州,长乐,周二,20,17,小雨,东北风4级,3540109
19700101,2022-11-02,福州,长乐,周三,18,17,小雨,东北风3级,3540109
19700101,2022-11-03,福州,长乐,周四,20,18,雾~小雨,东北风2级,3540109
19700101,2022-11-04,福州,长乐,周五,20,16,多云~阴,东北风4级,3540109
19700101,2022-11-05,福州,长乐,周六,19,16,多云~小雨,东北风4级,3540109
19700101,2022-11-06,福州,长乐,周日,20,17,多云~阴,东北风3级,3540109
19700101,2022-11-07,福州,长乐,周一,21,18,多云~阴,东北风2级,3540109
19700101,2022-11-08,福州,长乐,周二,23,18,多云~小雨,东北风3级,3540109
19700101,2022-11-09,福州,长乐,周三,22,20,多云~阴,北风2级,3540109
19700101,2022-11-10,福州,长乐,周四,26,21,多云~阴,东北风2级,3540109
19700101,2022-11-11,福州,长乐,周五,24,21,多云~阴,东北风2级,3540109
19700101,2022-11-12,福州,长乐,周六,29,20,晴~多云,东北风1级,3540109
19700101,2022-11-13,福州,长乐,周日,28,18,雾~小雨,东北风2级,3540109
19700101,2022-11-14,福州,长乐,周一,22,18,多云~小雨,东北风3级,3540109
19700101,2022-11-15,福州,长乐,周二,20,18,小雨,东北风2级,3540109
19700101,2022-11-16,福州,长乐,周三,20,16,小雨~阴,东北风2级,3540109
19700101,2022-11-17,福州,长乐,周四,27,20,多云,北风1级,3540109
19700101,2022-11-18,福州,长乐,周五,27,20,晴~多云,东北风2级,3540109
19700101,2022-11-19,福州,长乐,周六,27,19,雾~阴,东北风2级,3540109
19700101,2022-11-20,福州,长乐,周日,25,19,多云,东北风2级,3540109
19700101,2022-11-21,福州,长乐,周一,24,19,多云~小雨,东北风3级,3540109
19700101,2022-11-22,福州,长乐,周二,21,20,中雨~小雨,西北风1级,3540109
19700101,2022-11-23,福州,长乐,周三,20,17,小雨,东北风2级,3540109
19700101,2022-11-24,福州,长乐,周四,20,17,阴~大雨,东北风2级,3540109
19700101,2022-11-25,福州,长乐,周五,18,17,大雨~小雨,西北风2级,3540109
19700101,2022-11-26,福州,长乐,周六,23,18,多云~小雨,东北风2级,3540109
19700101,2022-11-27,福州,长乐,周日,21,19,多云~阴,北风2级,3540109
19700101,2022-11-28,福州,长乐,周一,28,20,多云,西南风2级,3540109
19700101,2022-11-29,福州,长乐,周二,31,14,多云~小雨,东北风2级,3540109
19700101,2022-11-30,福州,长乐,周三,13,11,小雨,东北风5级,3540109
19700101,2022-12-01,福州,长乐,周四,12,11,多云~小雨,东北风3级,3540109
19700101,2022-12-02,福州,长乐,周五,16,10,小雨,东北风2级,3540109
19700101,2022-12-03,福州,长乐,周六,18,15,多云~阴,东北风2级,3540109
19700101,2022-12-04,福州,长乐,周日,18,13,多云~小雨,东北风3级,3540109
19700101,2022-12-05,福州,长乐,周一,15,11,小雨~阴,东北风3级,3540109
19700101,2022-12-06,福州,长乐,周二,15,12,阴,东北风4级,3540109
19700101,2022-12-07,福州,长乐,周三,15,14,多云~阴,东北风3级,3540109
19700101,2022-12-08,福州,长乐,周四,20,15,多云~小雨,东北风2级,3540109
19700101,2022-12-09,福州,长乐,周五,22,15,多云,东北风2级,3540109
19700101,2022-12-10,福州,长乐,周六,20,13,多云~小雨,东北风2级,3540109
19700101,2022-11-01,福州,仓山,周二,19,17,小雨,北风2级,3540117
19700101,2022-11-02,福州,仓山,周三,20,17,小雨~阴,北风2级,3540117
19700101,2022-11-03,福州,仓山,周四,20,18,多云~小雨,东北风1级,3540117
19700101,2022-11-04,福州,仓山,周五,19,17,多云~阴,东北风2级,3540117
19700101,2022-11-05,福州,仓山,周六,20,16,多云~小雨,东北风2级,3540117
19700101,2022-11-06,福州,仓山,周日,20,17,多云~阴,东北风2级,3540117
19700101,2022-11-07,福州,仓山,周一,21,18,多云~阴,东北风1级,3540117
19700101,2022-11-08,福州,仓山,周二,25,18,多云~小雨,东北风2级,3540117
19700101,2022-11-09,福州,仓山,周三,23,21,多云,西北风1级,3540117
19700101,2022-11-10,福州,仓山,周四,29,22,多云~阴,东北风1级,3540117
19700101,2022-11-11,福州,仓山,周五,27,21,多云~阴,东北风1级,3540117
19700101,2022-11-12,福州,仓山,周六,32,20,晴~多云,北风1级,3540117
19700101,2022-11-13,福州,仓山,周日,29,19,多云~小雨,东北风2级,3540117
19700101,2022-11-14,福州,仓山,周一,22,19,多云~小雨,东北风2级,3540117
19700101,2022-11-15,福州,仓山,周二,21,18,小雨,东北风1级,3540117
19700101,2022-11-16,福州,仓山,周三,20,16,小雨,东北风1级,3540117
19700101,2022-11-17,福州,仓山,周四,27,20,多云,西北风1级,3540117
19700101,2022-11-18,福州,仓山,周五,28,20,多云,东北风1级,3540117
19700101,2022-11-19,福州,仓山,周六,26,20,多云~阴,东北风1级,3540117
19700101,2022-11-20,福州,仓山,周日,25,20,多云,东北风1级,3540117
19700101,2022-11-21,福州,仓山,周一,22,19,多云~小雨,东北风2级,3540117
19700101,2022-11-22,福州,仓山,周二,20,19,中雨~小雨,西北风1级,3540117
19700101,2022-11-23,福州,仓山,周三,21,18,小雨,东北风1级,3540117
19700101,2022-11-24,福州,仓山,周四,20,18,小雨~大雨,东北风1级,3540117
19700101,2022-11-25,福州,仓山,周五,18,17,中雨~小雨,西北风1级,3540117
19700101,2022-11-26,福州,仓山,周六,25,17,多云~小雨,东北风1级,3540117
19700101,2022-11-27,福州,仓山,周日,21,19,阴,西北风1级,3540117
19700101,2022-11-28,福州,仓山,周一,29,21,多云,西南风1级,3540117
19700101,2022-11-29,福州,仓山,周二,32,14,多云~小雨,东北风2级,3540117
19700101,2022-11-30,福州,仓山,周三,14,11,阴~小雨,东北风3级,3540117
19700101,2022-12-01,福州,仓山,周四,12,11,小雨,东北风2级,3540117
19700101,2022-12-02,福州,仓山,周五,16,11,小雨,北风1级,3540117
19700101,2022-12-03,福州,仓山,周六,19,15,多云~阴,北风1级,3540117
19700101,2022-12-04,福州,仓山,周日,17,14,多云~小雨,东北风1级,3540117
19700101,2022-12-05,福州,仓山,周一,15,12,阴,东北风1级,3540117
19700101,2022-12-06,福州,仓山,周二,15,12,阴,东北风2级,3540117
19700101,2022-12-07,福州,仓山,周三,15,13,多云~阴,东北风1级,3540117
19700101,2022-12-08,福州,仓山,周四,20,15,多云~小雨,东北风1级,3540117
19700101,2022-12-09,福州,仓山,周五,23,15,多云,东北风1级,3540117
19700101,2022-12-10,福州,仓山,周六,22,13,多云~小雨,东北风1级,3540117
19700101,2022-12-11,福州,仓山,周日,16,12,阴,东北风2级,3540117
19700101,2022-11-01,福州,福清,周二,20,17,小雨,东北风5级,3540108
19700101,2022-11-02,福州,福清,周三,20,17,小雨~阴,东北风5级,3540108
19700101,2022-11-03,福州,福清,周四,20,18,多云~小雨,东北风3级,3540108
19700101,2022-11-04,福州,福清,周五,19,17,多云~阴,东北风4级,3540108
19700101,2022-11-05,福州,福清,周六,19,16,多云~阴,东北风5级,3540108
19700101,2022-11-06,福州,福清,周日,20,17,多云~小雨,东北风4级,3540108
19700101,2022-11-07,福州,福清,周一,21,19,多云~阴,东北风3级,3540108
19700101,2022-11-08,福州,福清,周二,23,19,多云~小雨,东北风4级,3540108
19700101,2022-11-09,福州,福清,周三,22,20,多云~阴,北风3级,3540108
19700101,2022-11-10,福州,福清,周四,25,21,多云~阴,东北风3级,3540108
19700101,2022-11-11,福州,福清,周五,25,21,多云~阴,东北风3级,3540108
19700101,2022-11-12,福州,福清,周六,28,19,晴~多云,东北风2级,3540108
19700101,2022-11-13,福州,福清,周日,27,19,多云~阴,东北风3级,3540108
19700101,2022-11-14,福州,福清,周一,22,19,多云~小雨,东北风3级,3540108
19700101,2022-11-15,福州,福清,周二,21,18,多云~小雨,东北风3级,3540108
19700101,2022-11-16,福州,福清,周三,20,17,小雨,东北风3级,3540108
19700101,2022-11-17,福州,福清,周四,26,20,多云,东北风2级,3540108
19700101,2022-11-18,福州,福清,周五,26,20,多云,东北风3级,3540108
19700101,2022-11-19,福州,福清,周六,27,20,多云~阴,东北风3级,3540108
19700101,2022-11-20,福州,福清,周日,25,20,多云,东北风3级,3540108
19700101,2022-11-21,福州,福清,周一,23,20,多云~小雨,东北风3级,3540108
19700101,2022-11-22,福州,福清,周二,21,19,中雨~小雨,北风2级,3540108
19700101,2022-11-23,福州,福清,周三,20,18,中雨~小雨,东北风3级,3540108
19700101,2022-11-24,福州,福清,周四,19,17,小雨~大雨,东北风3级,3540108
19700101,2022-11-25,福州,福清,周五,18,17,中雨~小雨,北风2级,3540108
19700101,2022-11-26,福州,福清,周六,23,18,多云~小雨,东北风3级,3540108
19700101,2022-11-27,福州,福清,周日,21,19,多云~阴,东北风2级,3540108
19700101,2022-11-28,福州,福清,周一,26,21,多云,西南风2级,3540108
19700101,2022-11-29,福州,福清,周二,29,14,雾~小雨,西南风3级,3540108
19700101,2022-11-30,福州,福清,周三,14,12,多云~小雨,东北风5级,3540108
19700101,2022-12-01,福州,福清,周四,13,11,阴~小雨,东北风4级,3540108
19700101,2022-12-02,福州,福清,周五,16,9,小雨,东北风4级,3540108
19700101,2022-12-03,福州,福清,周六,19,15,多云~阴,东北风3级,3540108
19700101,2022-12-04,福州,福清,周日,17,14,多云~阴,东北风4级,3540108
19700101,2022-12-05,福州,福清,周一,15,12,多云~阴,东北风4级,3540108
19700101,2022-12-06,福州,福清,周二,15,12,阴,东北风4级,3540108
19700101,2022-12-07,福州,福清,周三,16,14,多云~阴,东北风4级,3540108
19700101,2022-12-08,福州,福清,周四,19,15,多云~小雨,东北风3级,3540108
19700101,2022-12-09,福州,福清,周五,21,15,多云,东北风3级,3540108
19700101,2022-12-10,福州,福清,周六,20,14,多云~小雨,东北风3级,3540108
19700101,2022-11-01,福州,鼓楼,周二,19,17,小雨,北风2级,3540121
19700101,2022-11-02,福州,鼓楼,周三,20,17,小雨~阴,西北风2级,3540121
19700101,2022-11-03,福州,鼓楼,周四,20,18,阴~小雨,东北风1级,3540121
19700101,2022-11-04,福州,鼓楼,周五,19,17,阴,东北风2级,3540121
19700101,2022-11-05,福州,鼓楼,周六,20,16,多云~小雨,东北风2级,3540121
19700101,2022-11-06,福州,鼓楼,周日,20,17,多云~阴,东北风2级,3540121
19700101,2022-11-07,福州,鼓楼,周一,21,18,多云~阴,东北风1级,3540121
19700101,2022-11-08,福州,鼓楼,周二,25,18,多云~小雨,东北风2级,3540121
19700101,2022-11-09,福州,鼓楼,周三,23,21,多云,西北风1级,3540121
19700101,2022-11-10,福州,鼓楼,周四,29,22,多云~阴,东北风1级,3540121
19700101,2022-11-11,福州,鼓楼,周五,27,21,阴,东北风1级,3540121
19700101,2022-11-12,福州,鼓楼,周六,32,20,晴~多云,西北风1级,3540121
19700101,2022-11-13,福州,鼓楼,周日,29,19,雾~小雨,东北风2级,3540121
19700101,2022-11-14,福州,鼓楼,周一,22,19,多云~小雨,东北风1级,3540121
19700101,2022-11-15,福州,鼓楼,周二,21,18,小雨,东风1级,3540121
19700101,2022-11-16,福州,鼓楼,周三,20,16,小雨,东北风1级,3540121
19700101,2022-11-17,福州,鼓楼,周四,27,20,雾~多云,西北风1级,3540121
19700101,2022-11-18,福州,鼓楼,周五,28,20,多云,东北风1级,3540121
19700101,2022-11-19,福州,鼓楼,周六,26,20,雾~阴,东北风1级,3540121
19700101,2022-11-20,福州,鼓楼,周日,25,20,阴~多云,东北风1级,3540121
19700101,2022-11-21,福州,鼓楼,周一,22,19,雾~小雨,东北风2级,3540121
19700101,2022-11-22,福州,鼓楼,周二,20,19,中雨~小雨,西北风1级,3540121
19700101,2022-11-23,福州,鼓楼,周三,21,18,小雨,东北风1级,3540121
19700101,2022-11-24,福州,鼓楼,周四,20,18,小雨~大雨,东北风1级,3540121
19700101,2022-11-25,福州,鼓楼,周五,18,17,中雨~小雨,西北风1级,3540121
19700101,2022-11-26,福州,鼓楼,周六,25,17,多云~小雨,东北风1级,3540121
19700101,2022-11-27,福州,鼓楼,周日,21,19,阴,北风1级,3540121
19700101,2022-11-28,福州,鼓楼,周一,29,21,雾~多云,西南风1级,3540121
19700101,2022-11-29,福州,鼓楼,周二,32,14,雾~小雨,东北风1级,3540121
19700101,2022-11-30,福州,鼓楼,周三,14,11,阴~小雨,东北风2级,3540121
19700101,2022-12-01,福州,鼓楼,周四,12,11,小雨,东北风1级,3540121
19700101,2022-12-02,福州,鼓楼,周五,16,11,小雨,北风1级,3540121
19700101,2022-12-03,福州,鼓楼,周六,19,15,阴,北风1级,3540121
19700101,2022-12-04,福州,鼓楼,周日,17,14,阴~小雨,东风1级,3540121
19700101,2022-12-05,福州,鼓楼,周一,15,12,阴,东北风1级,3540121
19700101,2022-12-06,福州,鼓楼,周二,15,12,阴,东北风2级,3540121
19700101,2022-12-07,福州,鼓楼,周三,15,13,多云~阴,东北风1级,3540121
19700101,2022-12-08,福州,鼓楼,周四,20,15,多云~小雨,东北风1级,3540121
19700101,2022-12-09,福州,鼓楼,周五,23,15,雾~多云,东北风1级,3540121
19700101,2022-12-10,福州,鼓楼,周六,22,13,多云~小雨,东北风1级,3540121
19700101,2022-12-11,福州,鼓楼,周日,16,12,阴,东北风2级,3540121
19700101,2022-11-01,福州,晋安,周二,19,17,小雨,北风2级,3540119
19700101,2022-11-02,福州,晋安,周三,20,17,小雨~阴,北风2级,3540119
19700101,2022-11-03,福州,晋安,周四,20,18,多云~小雨,东北风1级,3540119
19700101,2022-11-04,福州,晋安,周五,19,17,多云~阴,东北风1级,3540119
19700101,2022-11-05,福州,晋安,周六,20,16,多云~小雨,东北风2级,3540119
19700101,2022-11-06,福州,晋安,周日,20,17,多云~阴,东北风1级,3540119
19700101,2022-11-07,福州,晋安,周一,21,18,多云~阴,东北风1级,3540119
19700101,2022-11-08,福州,晋安,周二,25,18,多云~小雨,东北风2级,3540119
19700101,2022-11-09,福州,晋安,周三,23,21,多云,北风1级,3540119
19700101,2022-11-10,福州,晋安,周四,29,22,多云~阴,东北风1级,3540119
19700101,2022-11-11,福州,晋安,周五,27,21,多云~阴,东北风1级,3540119
19700101,2022-11-12,福州,晋安,周六,32,20,晴~多云,西北风1级,3540119
19700101,2022-11-13,福州,晋安,周日,29,19,多云~小雨,东北风2级,3540119
19700101,2022-11-14,福州,晋安,周一,22,19,多云~小雨,东北风1级,3540119
19700101,2022-11-15,福州,晋安,周二,21,18,小雨,东风1级,3540119
19700101,2022-11-16,福州,晋安,周三,20,16,小雨,东北风1级,3540119
19700101,2022-11-17,福州,晋安,周四,27,20,雾~多云,西北风1级,3540119
19700101,2022-11-18,福州,晋安,周五,28,20,多云,东风1级,3540119
19700101,2022-11-19,福州,晋安,周六,26,20,多云~阴,东北风1级,3540119
19700101,2022-11-20,福州,晋安,周日,25,20,雾~多云,东北风1级,3540119
19700101,2022-11-21,福州,晋安,周一,22,19,多云~小雨,东北风1级,3540119
19700101,2022-11-22,福州,晋安,周二,20,19,中雨~小雨,西北风1级,3540119
19700101,2022-11-23,福州,晋安,周三,21,18,小雨,东北风1级,3540119
19700101,2022-11-24,福州,晋安,周四,20,18,小雨~大雨,东北风1级,3540119
19700101,2022-11-25,福州,晋安,周五,18,17,中雨~小雨,西北风1级,3540119
19700101,2022-11-26,福州,晋安,周六,25,17,多云~小雨,东北风1级,3540119
19700101,2022-11-27,福州,晋安,周日,21,19,多云~阴,东北风1级,3540119
19700101,2022-11-28,福州,晋安,周一,29,21,多云,西南风1级,3540119
19700101,2022-11-29,福州,晋安,周二,32,14,多云~小雨,东南风2级,3540119
19700101,2022-11-30,福州,晋安,周三,14,11,多云~小雨,东北风2级,3540119
19700101,2022-12-01,福州,晋安,周四,12,11,小雨,东北风1级,3540119
19700101,2022-12-02,福州,晋安,周五,16,11,小雨,北风1级,3540119
19700101,2022-12-03,福州,晋安,周六,19,15,多云~阴,东北风1级,3540119
19700101,2022-12-04,福州,晋安,周日,17,14,阴~小雨,东南风1级,3540119
19700101,2022-12-05,福州,晋安,周一,15,12,多云~阴,东风1级,3540119
19700101,2022-12-06,福州,晋安,周二,15,12,阴,东北风1级,3540119
19700101,2022-12-07,福州,晋安,周三,15,13,多云~阴,东北风1级,3540119
19700101,2022-12-08,福州,晋安,周四,20,15,多云~小雨,东北风1级,3540119
19700101,2022-12-09,福州,晋安,周五,23,15,多云,东北风1级,3540119
19700101,2022-12-10,福州,晋安,周六,22,13,多云~小雨,东北风1级,3540119
19700101,2022-12-11,福州,晋安,周日,16,12,阴,东北风2级,3540119
19700101,2022-11-01,福州,罗源,周二,19,16,小雨,东北风2级,3540111
19700101,2022-11-02,福州,罗源,周三,19,16,小雨~阴,北风2级,3540111
19700101,2022-11-03,福州,罗源,周四,19,16,小雨,东北风1级,3540111
19700101,2022-11-04,福州,罗源,周五,19,15,小雨~阴,东风1级,3540111
19700101,2022-11-05,福州,罗源,周六,18,14,多云~小雨,东北风1级,3540111
19700101,2022-11-06,福州,罗源,周日,19,15,多云~阴,东北风1级,3540111
19700101,2022-11-07,福州,罗源,周一,20,16,多云~阴,东北风1级,3540111
19700101,2022-11-08,福州,罗源,周二,24,17,多云~小雨,东北风2级,3540111
19700101,2022-11-09,福州,罗源,周三,22,19,多云,北风1级,3540111
19700101,2022-11-10,福州,罗源,周四,27,20,多云~小雨,东北风1级,3540111
19700101,2022-11-11,福州,罗源,周五,25,20,小雨~阴,东北风1级,3540111
19700101,2022-11-12,福州,罗源,周六,30,19,晴~多云,西北风1级,3540111
19700101,2022-11-13,福州,罗源,周日,26,17,雾~小雨,东北风2级,3540111
19700101,2022-11-14,福州,罗源,周一,21,17,多云~小雨,东风1级,3540111
19700101,2022-11-15,福州,罗源,周二,18,16,小雨,东南风1级,3540111
19700101,2022-11-16,福州,罗源,周三,19,15,小雨~阴,东风1级,3540111
19700101,2022-11-17,福州,罗源,周四,25,18,雾~多云,北风1级,3540111
19700101,2022-11-18,福州,罗源,周五,25,19,多云,东南风1级,3540111
19700101,2022-11-19,福州,罗源,周六,24,19,雾~小雨,东北风1级,3540111
19700101,2022-11-20,福州,罗源,周日,25,18,小雨~多云,东北风1级,3540111
19700101,2022-11-21,福州,罗源,周一,21,17,雾~小雨,东风1级,3540111
19700101,2022-11-22,福州,罗源,周二,20,18,中雨~小雨,西北风1级,3540111
19700101,2022-11-23,福州,罗源,周三,20,16,小雨,东风1级,3540111
19700101,2022-11-24,福州,罗源,周四,18,17,小雨~中雨,东北风1级,3540111
19700101,2022-11-25,福州,罗源,周五,18,16,中雨~小雨,西北风1级,3540111
19700101,2022-11-26,福州,罗源,周六,24,16,多云~小雨,东北风1级,3540111
19700101,2022-11-27,福州,罗源,周日,20,17,阴,北风1级,3540111
19700101,2022-11-28,福州,罗源,周一,25,18,雾~多云,西南风1级,3540111
19700101,2022-11-29,福州,罗源,周二,30,12,雾~中雨,东南风2级,3540111
19700101,2022-11-30,福州,罗源,周三,13,10,小雨,东风2级,3540111
19700101,2022-12-01,福州,罗源,周四,11,10,小雨,东北风1级,3540111
19700101,2022-12-02,福州,罗源,周五,15,10,小雨,东北风1级,3540111
19700101,2022-12-03,福州,罗源,周六,18,14,小雨~阴,东北风1级,3540111
19700101,2022-12-04,福州,罗源,周日,16,12,小雨,东南风1级,3540111
19700101,2022-12-05,福州,罗源,周一,15,10,小雨~阴,东风1级,3540111
19700101,2022-12-06,福州,罗源,周二,14,11,阴,东北风1级,3540111
19700101,2022-12-07,福州,罗源,周三,14,12,多云~阴,东北风1级,3540111
19700101,2022-12-08,福州,罗源,周四,19,13,多云~小雨,东北风1级,3540111
19700101,2022-12-09,福州,罗源,周五,22,13,雾~多云,东北风1级,3540111
19700101,2022-12-10,福州,罗源,周六,22,12,多云~小雨,东北风1级,3540111
19700101,2022-11-01,福州,连江,周二,19,17,中雨~小雨,东北风3级,3540110
19700101,2022-11-02,福州,连江,周三,18,17,中雨~小雨,北风3级,3540110
19700101,2022-11-03,福州,连江,周四,19,17,阴~小雨,东北风2级,3540110
19700101,2022-11-04,福州,连江,周五,19,15,多云~阴,东北风3级,3540110
19700101,2022-11-05,福州,连江,周六,19,16,多云~小雨,东北风3级,3540110
19700101,2022-11-06,福州,连江,周日,19,17,多云~阴,北风2级,3540110
19700101,2022-11-07,福州,连江,周一,21,18,多云~阴,东北风2级,3540110
19700101,2022-11-08,福州,连江,周二,23,18,雾~小雨,东北风2级,3540110
19700101,2022-11-09,福州,连江,周三,22,20,多云~阴,北风2级,3540110
19700101,2022-11-10,福州,连江,周四,26,21,小雨,东北风2级,3540110
19700101,2022-11-11,福州,连江,周五,25,20,小雨~阴,东北风2级,3540110
19700101,2022-11-12,福州,连江,周六,29,19,晴~多云,东北风1级,3540110
19700101,2022-11-13,福州,连江,周日,25,18,雾~小雨,东北风2级,3540110
19700101,2022-11-14,福州,连江,周一,21,18,多云~小雨,东北风2级,3540110
19700101,2022-11-15,福州,连江,周二,19,17,小雨,东北风2级,3540110
19700101,2022-11-16,福州,连江,周三,20,17,小雨~阴,东北风2级,3540110
19700101,2022-11-17,福州,连江,周四,26,19,多云,东北风1级,3540110
19700101,2022-11-18,福州,连江,周五,26,19,多云,东北风2级,3540110
19700101,2022-11-19,福州,连江,周六,26,19,多云~阴,东北风2级,3540110
19700101,2022-11-20,福州,连江,周日,24,19,多云,东北风2级,3540110
19700101,2022-11-21,福州,连江,周一,23,19,多云~小雨,东北风2级,3540110
19700101,2022-11-22,福州,连江,周二,20,18,中雨~小雨,西北风1级,3540110
19700101,2022-11-23,福州,连江,周三,20,17,小雨,东北风2级,3540110
19700101,2022-11-24,福州,连江,周四,20,17,小雨~大雨,东北风2级,3540110
19700101,2022-11-25,福州,连江,周五,18,17,大雨~小雨,西北风1级,3540110
19700101,2022-11-26,福州,连江,周六,23,17,多云~小雨,东北风2级,3540110
19700101,2022-11-27,福州,连江,周日,20,18,阴,北风2级,3540110
19700101,2022-11-28,福州,连江,周一,25,19,多云,西南风2级,3540110
19700101,2022-11-29,福州,连江,周二,30,12,雾~小雨,东北风2级,3540110
19700101,2022-11-30,福州,连江,周三,14,11,小雨,东北风4级,3540110
19700101,2022-12-01,福州,连江,周四,12,11,多云~小雨,东北风2级,3540110
19700101,2022-12-02,福州,连江,周五,16,11,小雨,东北风2级,3540110
19700101,2022-12-03,福州,连江,周六,18,15,多云~阴,东北风1级,3540110
19700101,2022-12-04,福州,连江,周日,17,13,小雨,东北风2级,3540110
19700101,2022-12-05,福州,连江,周一,15,11,小雨~阴,东北风2级,3540110
19700101,2022-12-06,福州,连江,周二,15,12,阴,东北风3级,3540110
19700101,2022-12-07,福州,连江,周三,15,13,多云~阴,东北风2级,3540110
19700101,2022-12-08,福州,连江,周四,20,15,多云~小雨,东北风2级,3540110
19700101,2022-12-09,福州,连江,周五,22,14,多云,东北风2级,3540110
19700101,2022-12-10,福州,连江,周六,21,13,多云~小雨,东北风2级,3540110
19700101,2022-11-01,福州,闽清,周二,19,16,小雨,东北风1级,3540112
19700101,2022-11-02,福州,闽清,周三,19,15,小雨~阴,北风1级,3540112
19700101,2022-11-03,福州,闽清,周四,19,17,小雨,东北风1级,3540112
19700101,2022-11-04,福州,闽清,周五,18,16,多云~阴,东南风1级,3540112
19700101,2022-11-05,福州,闽清,周六,19,15,多云~小雨,东南风1级,3540112
19700101,2022-11-06,福州,闽清,周日,20,15,多云~阴,东北风1级,3540112
19700101,2022-11-07,福州,闽清,周一,20,17,雾~多云,东风1级,3540112
19700101,2022-11-08,福州,闽清,周二,26,17,多云~阴,东南风1级,3540112
19700101,2022-11-09,福州,闽清,周三,24,19,多云,东风1级,3540112
19700101,2022-11-10,福州,闽清,周四,30,20,多云~阴,东风1级,3540112
19700101,2022-11-11,福州,闽清,周五,30,19,多云,东南风1级,3540112
19700101,2022-11-12,福州,闽清,周六,31,19,雾~晴,西北风1级,3540112
19700101,2022-11-13,福州,闽清,周日,32,18,雾~阴,东南风1级,3540112
19700101,2022-11-14,福州,闽清,周一,23,19,多云~小雨,东南风2级,3540112
19700101,2022-11-15,福州,闽清,周二,20,17,小雨,东北风1级,3540112
19700101,2022-11-16,福州,闽清,周三,18,17,中雨~小雨,东南风1级,3540112
19700101,2022-11-17,福州,闽清,周四,25,19,雾~多云,西北风1级,3540112
19700101,2022-11-18,福州,闽清,周五,27,19,多云~阴,东南风1级,3540112
19700101,2022-11-19,福州,闽清,周六,24,19,雾~小雨,西北风1级,3540112
19700101,2022-11-20,福州,闽清,周日,27,18,多云~阴,东北风1级,3540112
19700101,2022-11-21,福州,闽清,周一,24,18,多云~小雨,东南风2级,3540112
