RQ,DLWZ1,DLWZ2,NL,YCZGQW,YCZDQW,TQYC,FSYC,JR,CREATETIME,ORG_NO,RQ
20230111,福州,福州,十二月二十,16,9,,,,20221211,35401,20230111
20230112,福州,福州,十二月廿一,16,9,,,,20221211,35401,20230112
20230113,福州,福州,十二月廿二,16,9,,,,20221211,35401,20230113
20230114,福州,福州,十二月廿三,16,9,,,小年,20221211,35401,20230114
20230115,福州,福州,十二月廿四,16,10,,,,20221211,35401,20230115
20230116,福州,福州,十二月廿五,16,10,,,,20221211,35401,20230116
20230117,福州,福州,十二月廿六,16,10,,,,20221211,35401,20230117
20230118,福州,福州,十二月廿七,16,9,,,,20221211,35401,20230118
20230119,福州,福州,十二月廿八,16,9,,,,20221211,35401,20230119
20221211,福州,闽清,十一月十八,15,11,阴转多云,微风,,20221211,3540112,20221211
20221212,福州,闽清,十一月十九,17,8,多云转晴,西北风3-4级转微风,,20221211,3540112,20221212
20221213,福州,闽清,十一月二十,15,9,多云转小雨,东南风3-4级,,20221211,3540112,20221213
20221214,福州,闽清,十一月廿一,10,7,小雨,微风转西南风3-4级,,20221211,3540112,20221214
20221215,福州,闽清,十一月廿二,13,11,小雨,微风,,20221211,3540112,20221215
20221216,福州,闽清,十一月廿三,14,8,阴,西北风3-4级转西风3-4级,,20221211,3540112,20221216
20221217,福州,闽清,十一月廿四,10,1,多云转晴,微风,,20221211,3540112,20221217
20221218,福州,闽清,十一月廿五,12,3,阴,微风,,20221211,3540112,20221218
20221219,福州,闽清,十一月廿六,15,8,阴,微风,,20221211,3540112,20221219
20221220,福州,闽清,十一月廿七,21,10,阴转雨,微风,,20221211,3540112,20221220
20221221,福州,闽清,十一月廿八,16,5,多云,微风,,20221211,3540112,20221221
20221222,福州,闽清,十一月廿九,18,7,多云转阴,微风,,20221211,3540112,20221222
20221223,福州,闽清,十二月初一,21,11,多云转晴,微风,,20221211,3540112,20221223
20221224,福州,闽清,十二月初二,25,12,晴,微风,,20221211,3540112,20221224
20221225,福州,闽清,十二月初三,24,10,阴,微风,,20221211,3540112,20221225
20221226,福州,闽清,十二月初四,18,10,,,,20221211,3540112,20221226
20221227,福州,闽清,十二月初五,17,9,,,,20221211,3540112,20221227
20221228,福州,闽清,十二月初六,17,9,,,,20221211,3540112,20221228
20221229,福州,闽清,十二月初七,18,9,,,,20221211,3540112,20221229
20221230,福州,闽清,十二月初八,18,9,,,,20221211,3540112,20221230
20221231,福州,闽清,十二月初九,17,8,,,,20221211,3540112,20221231
20230101,福州,闽清,十二月初十,17,8,,,,20221211,3540112,20230101
20230102,福州,闽清,十二月十一,16,8,,,,20221211,3540112,20230102
20230103,福州,闽清,十二月十二,18,8,,,,20221211,3540112,20230103
20230104,福州,闽清,十二月十三,17,9,,,,20221211,3540112,20230104
20230105,福州,闽清,十二月十四,17,9,,,,20221211,3540112,20230105
20230106,福州,闽清,十二月十五,17,8,,,,20221211,3540112,20230106
20230107,福州,闽清,十二月十六,17,8,,,,20221211,3540112,20230107
20230108,福州,闽清,十二月十七,17,8,,,,20221211,3540112,20230108
20230109,福州,闽清,十二月十八,17,8,,,,20221211,3540112,20230109
20230110,福州,闽清,十二月十九,17,8,,,,20221211,3540112,20230110
20230111,福州,闽清,十二月二十,17,8,,,,20221211,3540112,20230111
20230112,福州,闽清,十二月廿一,17,8,,,,20221211,3540112,20230112
20230113,福州,闽清,十二月廿二,18,8,,,,20221211,3540112,20230113
20230114,福州,闽清,十二月廿三,18,9,,,小年,20221211,3540112,20230114
20230115,福州,闽清,十二月廿四,18,9,,,,20221211,3540112,20230115
20230116,福州,闽清,十二月廿五,17,9,,,,20221211,3540112,20230116
20230117,福州,闽清,十二月廿六,17,9,,,,20221211,3540112,20230117
20230118,福州,闽清,十二月廿七,17,9,,,,20221211,3540112,20230118
20230119,福州,闽清,十二月廿八,18,9,,,,20221211,3540112,20230119
20221211,福州,闽侯,十一月十八,16,11,阴转多云,微风,,20221211,3540107,20221211
20221212,福州,闽侯,十一月十九,18,9,多云转晴,微风,,20221211,3540107,20221212
20221213,福州,闽侯,十一月二十,15,10,多云转小雨,微风,,20221211,3540107,20221213
20221214,福州,闽侯,十一月廿一,10,9,小雨,微风,,20221211,3540107,20221214
20221215,福州,闽侯,十一月廿二,14,11,小雨,微风,,20221211,3540107,20221215
20221216,福州,闽侯,十一月廿三,15,9,阴,微风,,20221211,3540107,20221216
20221217,福州,闽侯,十一月廿四,12,1,多云转晴,微风,,20221211,3540107,20221217
20221218,福州,闽侯,十一月廿五,12,5,阴,微风,,20221211,3540107,20221218
20221219,福州,闽侯,十一月廿六,15,9,阴,微风,,20221211,3540107,20221219
20221220,福州,闽侯,十一月廿七,22,12,阴转雨,微风,,20221211,3540107,20221220
20221221,福州,闽侯,十一月廿八,16,6,多云,微风,,20221211,3540107,20221221
20221222,福州,闽侯,十一月廿九,19,9,多云转阴,微风,,20221211,3540107,20221222
20221223,福州,闽侯,十二月初一,21,12,多云转晴,微风,,20221211,3540107,20221223
20221224,福州,闽侯,十二月初二,25,13,晴,微风,,20221211,3540107,20221224
20221225,福州,闽侯,十二月初三,25,10,阴,微风,,20221211,3540107,20221225
20221226,福州,闽侯,十二月初四,17,10,,,,20221211,3540107,20221226
20221227,福州,闽侯,十二月初五,17,10,,,,20221211,3540107,20221227
20221228,福州,闽侯,十二月初六,17,10,,,,20221211,3540107,20221228
20221229,福州,闽侯,十二月初七,17,10,,,,20221211,3540107,20221229
20221230,福州,闽侯,十二月初八,17,10,,,,20221211,3540107,20221230
20221231,福州,闽侯,十二月初九,17,9,,,,20221211,3540107,20221231
20230101,福州,闽侯,十二月初十,16,8,,,,20221211,3540107,20230101
20230102,福州,闽侯,十二月十一,16,9,,,,20221211,3540107,20230102
20230103,福州,闽侯,十二月十二,17,9,,,,20221211,3540107,20230103
20230104,福州,闽侯,十二月十三,17,9,,,,20221211,3540107,20230104
20230105,福州,闽侯,十二月十四,16,9,,,,20221211,3540107,20230105
20230106,福州,闽侯,十二月十五,16,9,,,,20221211,3540107,20230106
20230107,福州,闽侯,十二月十六,16,9,,,,20221211,3540107,20230107
20230108,福州,闽侯,十二月十七,16,9,,,,20221211,3540107,20230108
20230109,福州,闽侯,十二月十八,16,9,,,,20221211,3540107,20230109
20230110,福州,闽侯,十二月十九,17,8,,,,20221211,3540107,20230110
20230111,福州,闽侯,十二月二十,17,8,,,,20221211,3540107,20230111
20230112,福州,闽侯,十二月廿一,17,8,,,,20221211,3540107,20230112
20230113,福州,闽侯,十二月廿二,17,9,,,,20221211,3540107,20230113
20230114,福州,闽侯,十二月廿三,17,9,,,小年,20221211,3540107,20230114
20230115,福州,闽侯,十二月廿四,17,9,,,,20221211,3540107,20230115
20230116,福州,闽侯,十二月廿五,17,9,,,,20221211,3540107,20230116
20230117,福州,闽侯,十二月廿六,17,9,,,,20221211,3540107,20230117
20230118,福州,闽侯,十二月廿七,17,9,,,,20221211,3540107,20230118
20230119,福州,闽侯,十二月廿八,17,9,,,,20221211,3540107,20230119
20221211,福州,罗源,十一月十八,15,11,阴,微风,,20221211,3540111,20221211
20221212,福州,罗源,十一月十九,17,7,多云转晴,微风,,20221211,3540111,20221212
20221213,福州,罗源,十一月二十,14,9,多云转小雨,微风,,20221211,3540111,20221213
20221214,福州,罗源,十一月廿一,10,8,小雨,微风,,20221211,3540111,20221214
20221215,福州,罗源,十一月廿二,14,9,阴转小雨,微风,,20221211,3540111,20221215
20221216,福州,罗源,十一月廿三,15,7,阴,微风,,20221211,3540111,20221216
20221217,福州,罗源,十一月廿四,11,-1,多云转晴,微风,,20221211,3540111,20221217
20221218,福州,罗源,十一月廿五,10,4,阴,微风,,20221211,3540111,20221218
20221219,福州,罗源,十一月廿六,14,9,阴,微风,,20221211,3540111,20221219
20221220,福州,罗源,十一月廿七,20,10,雨转阴,微风,,20221211,3540111,20221220
20221221,福州,罗源,十一月廿八,15,6,晴,微风,,20221211,3540111,20221221
20221222,福州,罗源,十一月廿九,17,9,多云转阴,微风,,20221211,3540111,20221222
20221223,福州,罗源,十二月初一,17,11,阴转晴,微风,,20221211,3540111,20221223
20221224,福州,罗源,十二月初二,23,13,晴,微风,,20221211,3540111,20221224
20221225,福州,罗源,十二月初三,23,9,阴,微风,,20221211,3540111,20221225
20221226,福州,罗源,十二月初四,16,9,,,,20221211,3540111,20221226
20221227,福州,罗源,十二月初五,16,8,,,,20221211,3540111,20221227
20221228,福州,罗源,十二月初六,16,8,,,,20221211,3540111,20221228
20221229,福州,罗源,十二月初七,16,8,,,,20221211,3540111,20221229
20221230,福州,罗源,十二月初八,16,8,,,,20221211,3540111,20221230
20221231,福州,罗源,十二月初九,16,7,,,,20221211,3540111,20221231
20230101,福州,罗源,十二月初十,15,7,,,,20221211,3540111,20230101
20230102,福州,罗源,十二月十一,15,7,,,,20221211,3540111,20230102
20230103,福州,罗源,十二月十二,16,8,,,,20221211,3540111,20230103
20230104,福州,罗源,十二月十三,16,8,,,,20221211,3540111,20230104
20230105,福州,罗源,十二月十四,15,8,,,,20221211,3540111,20230105
20230106,福州,罗源,十二月十五,16,7,,,,20221211,3540111,20230106
20230107,福州,罗源,十二月十六,15,7,,,,20221211,3540111,20230107
20230108,福州,罗源,十二月十七,16,7,,,,20221211,3540111,20230108
20230109,福州,罗源,十二月十八,15,7,,,,20221211,3540111,20230109
20230110,福州,罗源,十二月十九,16,7,,,,20221211,3540111,20230110
20230111,福州,罗源,十二月二十,16,7,,,,20221211,3540111,20230111
20230112,福州,罗源,十二月廿一,16,7,,,,20221211,3540111,20230112
20230113,福州,罗源,十二月廿二,16,7,,,,20221211,3540111,20230113
20230114,福州,罗源,十二月廿三,16,8,,,小年,20221211,3540111,20230114
20230115,福州,罗源,十二月廿四,16,8,,,,20221211,3540111,20230115
20230116,福州,罗源,十二月廿五,16,8,,,,20221211,3540111,20230116
20230117,福州,罗源,十二月廿六,16,8,,,,20221211,3540111,20230117
20230118,福州,罗源,十二月廿七,15,8,,,,20221211,3540111,20230118
20230119,福州,罗源,十二月廿八,16,8,,,,20221211,3540111,20230119
20221211,福州,连江,十一月十八,16,11,阴,微风,,20221211,3540110,20221211
20221212,福州,连江,十一月十九,17,9,多云转晴,微风,,20221211,3540110,20221212
20221213,福州,连江,十一月二十,14,10,多云转小雨,微风,,20221211,3540110,20221213
20221214,福州,连江,十一月廿一,10,9,小雨,微风,,20221211,3540110,20221214
20221215,福州,连江,十一月廿二,14,11,小雨转中雨,微风,,20221211,3540110,20221215
20221216,福州,连江,十一月廿三,15,8,阴,微风,,20221211,3540110,20221216
20221217,福州,连江,十一月廿四,12,2,多云转晴,微风,,20221211,3540110,20221217
20221218,福州,连江,十一月廿五,10,6,阴,微风,,20221211,3540110,20221218
20221219,福州,连江,十一月廿六,14,10,阴,微风,,20221211,3540110,20221219
20221220,福州,连江,十一月廿七,20,12,雨转阴,微风,,20221211,3540110,20221220
20221221,福州,连江,十一月廿八,15,7,多云转阴,东北风3-4级转微风,,20221211,3540110,20221221
20221222,福州,连江,十一月廿九,17,10,多云转阴,微风,,20221211,3540110,20221222
20221223,福州,连江,十二月初一,18,12,阴转晴,微风,,20221211,3540110,20221223
20221224,福州,连江,十二月初二,18,14,晴,微风,,20221211,3540110,20221224
20221225,福州,连江,十二月初三,23,10,阴,微风转东北风3-4级,,20221211,3540110,20221225
20221226,福州,连江,十二月初四,16,10,,,,20221211,3540110,20221226
20221227,福州,连江,十二月初五,16,9,,,,20221211,3540110,20221227
20221228,福州,连江,十二月初六,16,9,,,,20221211,3540110,20221228
20221229,福州,连江,十二月初七,16,9,,,,20221211,3540110,20221229
20221230,福州,连江,十二月初八,16,9,,,,20221211,3540110,20221230
20221231,福州,连江,十二月初九,16,9,,,,20221211,3540110,20221231
20230101,福州,连江,十二月初十,16,8,,,,20221211,3540110,20230101
20230102,福州,连江,十二月十一,15,8,,,,20221211,3540110,20230102
20230103,福州,连江,十二月十二,16,9,,,,20221211,3540110,20230103
20230104,福州,连江,十二月十三,16,9,,,,20221211,3540110,20230104
20230105,福州,连江,十二月十四,16,9,,,,20221211,3540110,20230105
20230106,福州,连江,十二月十五,16,8,,,,20221211,3540110,20230106
20230107,福州,连江,十二月十六,15,8,,,,20221211,3540110,20230107
20230108,福州,连江,十二月十七,16,8,,,,20221211,3540110,20230108
20230109,福州,连江,十二月十八,15,8,,,,20221211,3540110,20230109
20230110,福州,连江,十二月十九,16,8,,,,20221211,3540110,20230110
20230111,福州,连江,十二月二十,16,8,,,,20221211,3540110,20230111
20230112,福州,连江,十二月廿一,16,8,,,,20221211,3540110,20230112
20230113,福州,连江,十二月廿二,16,9,,,,20221211,3540110,20230113
20230114,福州,连江,十二月廿三,16,9,,,小年,20221211,3540110,20230114
20230115,福州,连江,十二月廿四,16,9,,,,20221211,3540110,20230115
20230116,福州,连江,十二月廿五,16,9,,,,20221211,3540110,20230116
20230117,福州,连江,十二月廿六,16,9,,,,20221211,3540110,20230117
20230118,福州,连江,十二月廿七,16,9,,,,20221211,3540110,20230118
20230119,福州,连江,十二月廿八,16,9,,,,20221211,3540110,20230119
20221211,福州,鼓楼,十一月十八,16,12,阴,微风,,20221211,3540121,20221211
20221212,福州,鼓楼,十一月十九,18,10,多云转晴,微风,,20221211,3540121,20221212
20221213,福州,鼓楼,十一月二十,15,10,多云转小雨,微风,,20221211,3540121,20221213
20221214,福州,鼓楼,十一月廿一,11,9,小雨,微风,,20221211,3540121,20221214
20221215,福州,鼓楼,十一月廿二,14,12,小雨,微风,,20221211,3540121,20221215
20221216,福州,鼓楼,十一月廿三,15,10,阴,微风,,20221211,3540121,20221216
20221217,福州,鼓楼,十一月廿四,12,2,多云转晴,微风,,20221211,3540121,20221217
20221218,福州,鼓楼,十一月廿五,12,6,阴,微风,,20221211,3540121,20221218
20221219,福州,鼓楼,十一月廿六,15,9,阴,微风,,20221211,3540121,20221219
20221220,福州,鼓楼,十一月廿七,21,12,阴,微风,,20221211,3540121,20221220
20221221,福州,鼓楼,十一月廿八,16,7,多云转阴,微风,,20221211,3540121,20221221
20221222,福州,鼓楼,十一月廿九,18,9,多云转阴,微风,,20221211,3540121,20221222
20221223,福州,鼓楼,十二月初一,20,12,多云转晴,微风,,20221211,3540121,20221223
20221224,福州,鼓楼,十二月初二,20,13,晴,微风,,20221211,3540121,20221224
20221225,福州,鼓楼,十二月初三,25,11,阴,微风,,20221211,3540121,20221225
20221226,福州,鼓楼,十二月初四,16,10,,,,20221211,3540121,20221226
20221227,福州,鼓楼,十二月初五,16,10,,,,20221211,3540121,20221227
20221228,福州,鼓楼,十二月初六,16,10,,,,20221211,3540121,20221228
20221229,福州,鼓楼,十二月初七,17,10,,,,20221211,3540121,20221229
20221230,福州,鼓楼,十二月初八,16,10,,,,20221211,3540121,20221230
20221231,福州,鼓楼,十二月初九,16,9,,,,20221211,3540121,20221231
20230101,福州,鼓楼,十二月初十,16,9,,,,20221211,3540121,20230101
20230102,福州,鼓楼,十二月十一,15,9,,,,20221211,3540121,20230102
20230103,福州,鼓楼,十二月十二,16,10,,,,20221211,3540121,20230103
20230104,福州,鼓楼,十二月十三,16,10,,,,20221211,3540121,20230104
20230105,福州,鼓楼,十二月十四,16,9,,,,20221211,3540121,20230105
20230106,福州,鼓楼,十二月十五,16,9,,,,20221211,3540121,20230106
20230107,福州,鼓楼,十二月十六,16,9,,,,20221211,3540121,20230107
20230108,福州,鼓楼,十二月十七,16,9,,,,20221211,3540121,20230108
20230109,福州,鼓楼,十二月十八,15,9,,,,20221211,3540121,20230109
20230110,福州,鼓楼,十二月十九,16,9,,,,20221211,3540121,20230110
20230111,福州,鼓楼,十二月二十,16,9,,,,20221211,3540121,20230111
20230112,福州,鼓楼,十二月廿一,16,9,,,,20221211,3540121,20230112
20230113,福州,鼓楼,十二月廿二,16,9,,,,20221211,3540121,20230113
20230114,福州,鼓楼,十二月廿三,16,9,,,小年,20221211,3540121,20230114
20230115,福州,鼓楼,十二月廿四,16,10,,,,20221211,3540121,20230115
20230116,福州,鼓楼,十二月廿五,16,10,,,,20221211,3540121,20230116
20230117,福州,鼓楼,十二月廿六,16,10,,,,20221211,3540121,20230117
20230118,福州,鼓楼,十二月廿七,16,9,,,,20221211,3540121,20230118
20230119,福州,鼓楼,十二月廿八,16,9,,,,20221211,3540121,20230119
20221211,福州,永泰,十一月十八,16,11,阴转多云,微风,,20221211,3540113,20221211
20221212,福州,永泰,十一月十九,18,7,多云转晴,微风,,20221211,3540113,20221212
20221213,福州,永泰,十一月二十,15,9,阴转小雨,微风,,20221211,3540113,20221213
20221214,福州,永泰,十一月廿一,10,8,小雨,微风,,20221211,3540113,20221214
20221215,福州,永泰,十一月廿二,13,10,小雨,微风,,20221211,3540113,20221215
20221216,福州,永泰,十一月廿三,15,8,阴,微风,,20221211,3540113,20221216
20221217,福州,永泰,十一月廿四,11,0,多云转晴,微风,,20221211,3540113,20221217
20221218,福州,永泰,十一月廿五,13,5,阴,微风,,20221211,3540113,20221218
20221219,福州,永泰,十一月廿六,15,8,阴,微风,,20221211,3540113,20221219
20221220,福州,永泰,十一月廿七,22,11,阴,微风,,20221211,3540113,20221220
20221221,福州,永泰,十一月廿八,17,6,多云转阴,微风,,20221211,3540113,20221221
20221222,福州,永泰,十一月廿九,20,9,阴,微风,,20221211,3540113,20221222
20221223,福州,永泰,十二月初一,22,11,多云转晴,微风,,20221211,3540113,20221223
20221224,福州,永泰,十二月初二,25,13,晴,微风,,20221211,3540113,20221224
20221225,福州,永泰,十二月初三,25,10,阴,微风,,20221211,3540113,20221225
20221226,福州,永泰,十二月初四,18,10,,,,20221211,3540113,20221226
20221227,福州,永泰,十二月初五,17,9,,,,20221211,3540113,20221227
20221228,福州,永泰,十二月初六,17,9,,,,20221211,3540113,20221228
20221229,福州,永泰,十二月初七,18,9,,,,20221211,3540113,20221229
20221230,福州,永泰,十二月初八,18,9,,,,20221211,3540113,20221230
20221231,福州,永泰,十二月初九,17,9,,,,20221211,3540113,20221231
20230101,福州,永泰,十二月初十,17,8,,,,20221211,3540113,20230101
20230102,福州,永泰,十二月十一,16,8,,,,20221211,3540113,20230102
20230103,福州,永泰,十二月十二,18,9,,,,20221211,3540113,20230103
20230104,福州,永泰,十二月十三,17,9,,,,20221211,3540113,20230104
20230105,福州,永泰,十二月十四,17,9,,,,20221211,3540113,20230105
20230106,福州,永泰,十二月十五,17,8,,,,20221211,3540113,20230106
20230107,福州,永泰,十二月十六,17,8,,,,20221211,3540113,20230107
20230108,福州,永泰,十二月十七,17,8,,,,20221211,3540113,20230108
20230109,福州,永泰,十二月十八,17,8,,,,20221211,3540113,20230109
20230110,福州,永泰,十二月十九,17,8,,,,20221211,3540113,20230110
20230111,福州,永泰,十二月二十,17,8,,,,20221211,3540113,20230111
20230112,福州,永泰,十二月廿一,17,8,,,,20221211,3540113,20230112
20230113,福州,永泰,十二月廿二,17,8,,,,20221211,3540113,20230113
20230114,福州,永泰,十二月廿三,18,9,,,小年,20221211,3540113,20230114
20230115,福州,永泰,十二月廿四,18,9,,,,20221211,3540113,20230115
20230116,福州,永泰,十二月廿五,17,9,,,,20221211,3540113,20230116
20230117,福州,永泰,十二月廿六,17,9,,,,20221211,3540113,20230117
20230118,福州,永泰,十二月廿七,17,9,,,,20221211,3540113,20230118
20230119,福州,永泰,十二月廿八,17,9,,,,20221211,3540113,20230119
20221211,福州,平潭,十一月十八,16,12,阴转小雨,东北风4-5级转东北风3-4级,,20221211,3540114,20221211
20221212,福州,平潭,十一月十九,15,13,阴转多云,北风3-4级转东北风3-4级,,20221211,3540114,20221212
20221213,福州,平潭,十一月二十,14,11,阴转小雨,东北风3-4级转北风3-4级,,20221211,3540114,20221213
20221214,福州,平潭,十一月廿一,12,10,小雨,东北风3-4级转北风3-4级,,20221211,3540114,20221214
20221215,福州,平潭,十一月廿二,14,12,小雨转中雨,北风3-4级,,20221211,3540114,20221215
20221216,福州,平潭,十一月廿三,15,9,小雨转阴,东北风3-4级,,20221211,3540114,20221216
20221217,福州,平潭,十一月廿四,10,4,阴转晴,东北风5-6级转东北风4-5级,,20221211,3540114,20221217
20221218,福州,平潭,十一月廿五,13,10,阴转雨,东北风6-7级转北风5-6级,,20221211,3540114,20221218
20221219,福州,平潭,十一月廿六,15,13,雨转阴,北风5-6级,,20221211,3540114,20221219
20221220,福州,平潭,十一月廿七,16,13,雨转阴,东北风6-7级,,20221211,3540114,20221220
20221221,福州,平潭,十一月廿八,13,12,阴,东北风6-7级转东北风5-6级,,20221211,3540114,20221221
20221222,福州,平潭,十一月廿九,14,12,阴,北风5-6级转北风4-5级,,20221211,3540114,20221222
20221223,福州,平潭,十二月初一,16,14,多云,北风4-5级转北风3-4级,,20221211,3540114,20221223
20221224,福州,平潭,十二月初二,17,14,晴转多云,微风转北风3-4级,,20221211,3540114,20221224
20221225,福州,平潭,十二月初三,17,13,晴转阴,东北风5-6级转东北风6-7级,,20221211,3540114,20221225
20221226,福州,平潭,十二月初四,16,11,,,,20221211,3540114,20221226
20221227,福州,平潭,十二月初五,16,11,,,,20221211,3540114,20221227
20221228,福州,平潭,十二月初六,16,11,,,,20221211,3540114,20221228
20221229,福州,平潭,十二月初七,16,11,,,,20221211,3540114,20221229
20221230,福州,平潭,十二月初八,16,11,,,,20221211,3540114,20221230
20221231,福州,平潭,十二月初九,16,10,,,,20221211,3540114,20221231
20230101,福州,平潭,十二月初十,15,9,,,,20221211,3540114,20230101
20230102,福州,平潭,十二月十一,15,10,,,,20221211,3540114,20230102
20230103,福州,平潭,十二月十二,16,10,,,,20221211,3540114,20230103
20230104,福州,平潭,十二月十三,16,10,,,,20221211,3540114,20230104
20230105,福州,平潭,十二月十四,15,10,,,,20221211,3540114,20230105
20230106,福州,平潭,十二月十五,15,10,,,,20221211,3540114,20230106
20230107,福州,平潭,十二月十六,15,10,,,,20221211,3540114,20230107
20230108,福州,平潭,十二月十七,15,10,,,,20221211,3540114,20230108
20230109,福州,平潭,十二月十八,15,10,,,,20221211,3540114,20230109
20230110,福州,平潭,十二月十九,15,10,,,,20221211,3540114,20230110
20230111,福州,平潭,十二月二十,15,9,,,,20221211,3540114,20230111
20230112,福州,平潭,十二月廿一,15,9,,,,20221211,3540114,20230112
20230113,福州,平潭,十二月廿二,15,10,,,,20221211,3540114,20230113
20230114,福州,平潭,十二月廿三,16,10,,,小年,20221211,3540114,20230114
20230115,福州,平潭,十二月廿四,16,10,,,,20221211,3540114,20230115
20230116,福州,平潭,十二月廿五,16,10,,,,20221211,3540114,20230116
20230117,福州,平潭,十二月廿六,15,10,,,,20221211,3540114,20230117
20230118,福州,平潭,十二月廿七,15,10,,,,20221211,3540114,20230118
20230119,福州,平潭,十二月廿八,16,10,,,,20221211,3540114,20230119
20221211,福州,台江,十一月十八,16,12,阴,微风,,20221211,3540101,20221211
20221212,福州,台江,十一月十九,18,10,多云转晴,微风,,20221211,3540101,20221212
20221213,福州,台江,十一月二十,15,10,多云转小雨,微风,,20221211,3540101,20221213
20221214,福州,台江,十一月廿一,11,9,小雨,微风,,20221211,3540101,20221214
20221215,福州,台江,十一月廿二,14,12,小雨,微风,,20221211,3540101,20221215
20221216,福州,台江,十一月廿三,15,10,阴,微风,,20221211,3540101,20221216
20221217,福州,台江,十一月廿四,12,2,多云转晴,微风,,20221211,3540101,20221217
20221218,福州,台江,十一月廿五,12,6,阴,微风,,20221211,3540101,20221218
20221219,福州,台江,十一月廿六,15,9,阴,微风,,20221211,3540101,20221219
20221220,福州,台江,十一月廿七,21,12,阴,微风,,20221211,3540101,20221220
20221221,福州,台江,十一月廿八,16,7,多云转阴,微风,,20221211,3540101,20221221
20221222,福州,台江,十一月廿九,18,9,多云转阴,微风,,20221211,3540101,20221222
20221223,福州,台江,十二月初一,20,12,多云转晴,微风,,20221211,3540101,20221223
20221224,福州,台江,十二月初二,20,13,晴,微风,,20221211,3540101,20221224
20221225,福州,台江,十二月初三,25,11,阴,微风,,20221211,3540101,20221225
20221226,福州,台江,十二月初四,16,10,,,,20221211,3540101,20221226
20221227,福州,台江,十二月初五,16,10,,,,20221211,3540101,20221227
20221228,福州,台江,十二月初六,16,10,,,,20221211,3540101,20221228
20221229,福州,台江,十二月初七,17,10,,,,20221211,3540101,20221229
20221230,福州,台江,十二月初八,16,10,,,,20221211,3540101,20221230
20221231,福州,台江,十二月初九,16,9,,,,20221211,3540101,20221231
20230101,福州,台江,十二月初十,16,9,,,,20221211,3540101,20230101
20230102,福州,台江,十二月十一,15,9,,,,20221211,3540101,20230102
20230103,福州,台江,十二月十二,16,10,,,,20221211,3540101,20230103
20230104,福州,台江,十二月十三,16,10,,,,20221211,3540101,20230104
20230105,福州,台江,十二月十四,16,9,,,,20221211,3540101,20230105
20230106,福州,台江,十二月十五,16,9,,,,20221211,3540101,20230106
20230107,福州,台江,十二月十六,16,9,,,,20221211,3540101,20230107
20230108,福州,台江,十二月十七,16,9,,,,20221211,3540101,20230108
20230109,福州,台江,十二月十八,15,9,,,,20221211,3540101,20230109
20230110,福州,台江,十二月十九,16,9,,,,20221211,3540101,20230110
20230111,福州,台江,十二月二十,16,9,,,,20221211,3540101,20230111
20230112,福州,台江,十二月廿一,16,9,,,,20221211,3540101,20230112
20230113,福州,台江,十二月廿二,16,9,,,,20221211,3540101,20230113
